file_name,tempo,tempogram,spec_cent,spec_bw,spec_cont,spec_flat,spec_roll,mcff,rms,tonnetz_fifth_x_axis,tonnetz_fifth_y_axis,tonnetz_minor_x_axis,tonnetz_minor_y_axis,tonnetz_major_x_axis,tonnetz_major_y_axis,danger_rating,urgency,approachability,risk of failure
105022.mp3,129.19921875,0.20620703741737234,5660.510462458233,2858.3847433709143,17.566495301373276,0.025993392,8885.44097294081,-8.505569,0.071732186,0.026135735658940104,-0.02673074746701747,-0.044853662264021966,-0.019460091993386,-0.0051538590902821665,0.02238594618894238,6,4,3,4
000002.mp3,161.4990234375,0.1934445410741114,3756.5669847606237,2756.4371581028313,15.836042241903609,0.024169425,7085.992472061258,-1.9612075,0.14430943,0.022422443214222477,0.14440848572120657,0.04784441784961697,0.13506116386848335,0.013935774039587042,0.05822787335564988,7,6,1,0
009152.mp3,135.99917763157896,0.15891594887454702,1703.043055091132,1982.385372036159,19.337447747448245,0.004648886,3719.8964908423013,4.6095266,0.18599711,-0.01832419581358543,0.011735721432222266,0.010833028999977028,0.008436718493058092,-9.50420286170066e-05,0.0021011580154917,4,3,3,6
027194.mp3,103.359375,0.17767224714266325,2305.589577960162,2428.4289553682283,23.135219923739765,0.0061463458,5238.308170141763,0.5832965,0.100909464,-0.09804843357786372,0.12778604749879557,-0.10126223091948959,0.030586961447106324,-0.0397563652681716,-0.02485565095368946,2,5,7,7
099041.mp3,123.046875,0.11803423452605329,2289.6708447910314,2311.231394446365,20.49654836257997,0.010317984,4665.111415433568,2.2022083,0.25728515,-0.08953551248789286,0.02012549034556924,-0.018096552449371632,0.0031878372410689207,-0.006772815195386553,-0.0007664622574741933,4,5,4,2
083437.mp3,143.5546875,0.132432663531181,819.6782793142794,1167.2848204794393,28.402824977211225,0.0003931593,1477.876493946606,-7.825904,0.0996852,0.4385717447027456,0.11813829601140867,-0.00986284434268052,-0.47470107480778784,-0.18823060554397822,-0.0686610357757637,1,1,3,5
028070.mp3,117.45383522727273,0.19699605314249305,1831.5933337158535,1847.6467812374267,22.428939455447427,0.003508241,3554.4402065656045,3.5047982,0.2150642,0.028358224604987537,0.04322188469166927,0.011914762952025038,0.10644197896961682,-0.022777730063462807,-0.016600296016942843,5,6,5,4
001039.mp3,129.19921875,0.1795052641122982,2293.5419883468635,2273.3432597160536,20.296240775410972,0.007246113,4695.129556213783,9.208541,0.26834893,-0.0035231723482596154,-0.010888201653382263,0.04325654552570981,0.005475247907914434,0.008801444532041843,0.003185516741398214,7,7,1,5
019074.mp3,135.99917763157896,0.14765061051590164,1339.5529540761552,1831.4437178825854,19.720570909521555,0.0014916428,2642.66591861548,-2.0843194,0.10747412,0.24785197577046644,0.06285710253692081,-0.05819925803703543,0.054891276571109364,0.006385942305108328,0.004873242132082067,3,4,6,5
064007.mp3,107.666015625,0.21763546993440291,3076.344228912296,2682.579670737493,20.851933060205983,0.0150923,6166.624521419702,7.888978,0.3303782,0.26272475626716996,-0.10860063558799686,0.030999258928468918,0.13161841303184088,0.020534351725869086,-0.0425931296137081,4,3,4,3
005006.mp3,112.34714673913044,0.2398720884523085,2795.1426821478603,2512.0178077922237,20.724904487133827,0.018310037,5794.784606529387,5.917163,0.35542488,0.028558701378074407,-0.03165125093198528,0.06977377208998227,-0.04509513538380178,-0.026121468162988513,0.003401056252765353,6,7,1,4
154303.mp3,129.19921875,0.06493743842102731,2773.0479146596067,2449.0728111842805,30.208219589863692,0.0061962823,5463.943339973096,-0.68350774,0.081545606,0.10213450348757383,-0.056684513858541376,0.02831617261850477,-0.11146172275535479,0.0459430826066937,-0.008797020017861605,3,2,5,6
123000.mp3,129.19921875,0.17493331451977975,2078.2031466624026,2328.968565947258,18.184956305320817,0.004964781,4395.696819381209,7.3986692,0.29013386,0.1956308828361743,-0.08099844886889933,0.0017089676636185382,-0.00317879284220205,0.005429644538739949,0.038150434994404056,3,3,4,4
